id,value
16407,108022.01
16408,104874.08
16409,102023.016
16410,107120.23
16411,107084.33
16412,108178.12
16413,113886.86
16414,113107.11
16415,109036.5
16416,106904.266
16417,109015.98
16418,106877.3
16419,111968.29
16420,114025.414
16421,114591.16
16422,110574.45
16423,109908.55
16424,108171.23
16425,107107.61
16426,114554.13
16427,114988.84
16428,114885.38
16429,111644.07
16430,107618.56
16431,107537.266
16432,105202.75
16433,110201.52
16434,111665.59
16435,111276.84
16436,107798.58
16437,106027.305
16438,104952.03
16439,105941.18
16440,108020.72
16441,112011.8
16442,111528.05
16443,108187.82
16444,105921.72
16445,107305.19
16446,105050.26
16447,110241.33
16448,110915.055
16449,110395.06
16450,108016.84
16451,104899.51
16452,103615.055
16453,102157.984
16454,110482.23
16455,109913.91
16456,104871.34
16457,105027.836
16458,103260.69
16459,103631.05
16460,102046.305
16461,106973.74
16462,107216.25
16463,106871.03
16464,103082.05
16465,100736.87
16466,103953.766
16467,96813.39
16468,95976.88
16469,95480.195
16470,102490.27
16471,97721.82
16472,94365.586
16473,95836.13
16474,95302.93
16475,100584.24
16476,100988.29
16477,99317.32
16478,95224.31
16479,94699.81
16480,94853.67
16481,92841.664
16482,96641.2
16483,97896.88
16484,97715.9
16485,93232.586
16486,92491.47
16487,93361.11
16488,90065.625
16489,95695.48
16490,95487.305
16491,95813.67
16492,91325.79
16493,88776.29
16494,86790.0
16495,87757.16
16496,91773.69
16497,90139.336
16498,89595.25
16499,87392.92
16500,85246.11
16501,84585.93
16502,85329.26
16503,89533.23
16504,89696.57
16505,89130.95
16506,83659.266
16507,81759.34
16508,80372.1
16509,81239.45
16510,85822.45
16511,86984.18
16512,86565.586
16513,82964.21
16514,80827.914
16515,78880.15
16516,80376.56
16517,86702.38
16518,86823.12
16519,85609.195
16520,81876.44
16521,79546.36
16522,78796.516
16523,75672.73
16524,76950.97
16525,81420.14
16526,81135.28
16527,77305.79
16528,75442.18
16529,75963.0
16530,74102.78
16531,73671.0
16532,79565.13
16533,79611.01
16534,75840.85
16535,75526.27
16536,74160.99
16537,75386.0
16538,79545.85
16539,80449.79
16540,80273.945
16541,75625.664
16542,74188.77
16543,75827.83
16544,74111.055
16545,79531.79
16546,78961.125
16547,78843.17
16548,75306.97
16549,74125.164
16550,74046.13
16551,75321.93
16552,79458.95
16553,79558.7
16554,78546.23
16555,74089.664
16556,73465.3
16557,74079.03
16558,73508.43
16559,78061.69
16560,78601.18
16561,78600.04
16562,75302.46
