id,value
16407,90468.00000651882
16408,92764.0000007701
16409,94790.99999684382
16410,98009.9999968678
16411,100974.99999735964
16412,103678.99999803516
16413,103583.99999858932
16414,104807.99999508719
16415,103418.99999785691
16416,103088.99999914107
16417,113772.99999921728
16418,114330.99999962247
16419,114301.99999970138
16420,113348.99999956969
16421,112573.0000000054
16422,104339.99999986049
16423,103417.99999987995
16424,112941.00000017813
16425,114889.99999995714
16426,115934.99999997168
16427,115744.00000002132
16428,115671.999999947
16429,109273.00000006593
16430,106950.99999991259
16431,116670.99999999735
16432,118143.0000000236
16433,117429.00000005946
16434,117118.00000000591
16435,117018.00000006528
16436,109725.9999999806
16437,107948.00000016174
16438,115834.00000017315
16439,115681.00000002554
16440,114599.99999985938
16441,113957.99999987385
16442,114105.99999977487
16443,107523.99999995406
16444,103979.99999993567
16445,114285.99999994237
16446,113947.00000001444
16447,113223.99999999606
16448,112708.0000001634
16449,112543.00000019801
16450,105621.00000004588
16451,102606.99999997458
16452,113478.99999995972
16453,112750.00000009699
16454,112499.00000058084
16455,113749.0000007356
16456,113019.000000565
16457,104815.00000034101
16458,102753.00000019895
16459,104958.99999999584
16460,102779.99999976276
16461,112037.99999939141
16462,110494.99999940874
16463,110577.99999978628
16464,106792.99999992772
16465,96537.00000001935
16466,105660.00000017334
16467,105294.00000016778
16468,105745.99999994553
16469,105183.9999997014
16470,103584.99999942104
16471,95709.9999995842
16472,94194.99999977034
16473,93407.99999982186
16474,104182.00000007864
16475,103416.000000182
16476,104342.00000006733
16477,103823.99999995601
16478,94921.99999992877
16479,92720.9999999797
16480,104485.00000000083
16481,103619.00000029398
16482,104109.0000005331
16483,103445.00000063189
16484,103695.00000046969
16485,96468.000000465
16486,92607.00000041531
16487,103903.00000034166
16488,104275.99999985617
16489,103332.99999978779
16490,102315.99999979869
16491,100924.99999997516
16492,92491.00000016813
16493,86571.00000027019
16494,98579.00000050967
16495,97389.00000052882
16496,96104.00000044196
16497,95505.00000043397
16498,93665.99999985186
16499,86292.99999946257
16500,84156.99999929171
16501,93375.99999921572
16502,89363.99999940486
16503,88049.9999994742
16504,87998.99999974667
16505,88853.99999990953
16506,82971.99999973207
16507,80733.999999824
16508,89720.99999973511
16509,91635.99999966827
16510,92859.99999964263
16511,92671.99999957891
16512,91545.99999983284
16513,84175.99999995415
16514,81439.9999997205
16515,90887.99999970043
16516,90298.99999978559
16517,88904.99999986989
16518,88719.99999988612
16519,87541.00000007254
16520,80504.9999999888
16521,78368.00000035764
16522,86965.00000051495
16523,88088.00000036908
16524,89624.00000001922
16525,88243.99999995847
16526,85351.9999999784
16527,75423.00000016842
16528,73874.000000141
16529,74232.0000002287
16530,82331.00000033603
16531,79592.00000060556
16532,78194.00000053385
16533,76423.00000016946
16534,70504.00000016032
16535,70139.99999976301
16536,70095.99999957245
16537,76548.99999970922
16538,77910.99999983121
16539,78179.99999985249
16540,77384.00000004696
16541,70464.99999994428
16542,68808.99999982235
16543,78190.99999976737
16544,78442.99999975816
16545,80648.99999984878
16546,80779.99999988018
16547,78370.99999993945
16548,71216.99999995086
16549,68412.00000007694
16550,77511.99999999827
16551,78422.9999997439
16552,79458.99999967574
16553,79263.99999953367
16554,77925.99999959701
16555,71058.99999974392
16556,68321.99999977225
16557,76443.99999987725
16558,76371.99999986209
16559,77336.99999981036
16560,76903.00000014319
16561,77313.0000002241
16562,69248.00000021073
16563,66410.0000002329
16564,76702.0000002802
16565,77148.00000042647
16566,77797.00000015761
16567,77675.00000007919
16568,76532.00000017729
16569,67918.0000003882
16570,66270.00000051706
16571,66536.0000004515
16572,76386.00000046488
16573,77056.00000051071
16574,77505.00000014405
16575,78432.99999981436
16576,70561.99999958997
16577,68008.99999953974
16578,76998.99999950228
16579,77452.99999943386
16580,77127.9999995454
16581,76941.99999963121
16582,77366.99999974678
16583,69722.9999997487
16584,66265.99999959022
16585,77227.99999953767
16586,78076.99999963053
16587,77341.9999997983
16588,77598.00000009175
16589,76725.00000005522
16590,69950.99999991182
16591,67387.99999988049
16592,76939.99999991615
16593,77516.99999973977
16594,78507.99999959927
16595,78297.99999958888
16596,78093.99999969183
16597,70672.99999988703
16598,68354.00000010517
16599,77672.99999994844
16600,78119.99999998958
16601,78023.99999993361
16602,78324.99999979229
16603,78132.99999973383
16604,71252.99999974639
16605,69102.99999970826
16606,77725.99999976938
16607,77949.99999981247
16608,78827.99999991262
16609,78810.00000000536
16610,78746.00000011196
16611,72122.00000011832
16612,70153.00000000974
16613,76566.00000004283
16614,78507.00000004502
16615,77709.99999999026
16616,78238.99999992595
16617,78546.99999987068
16618,71072.99999986777
16619,70048.99999989277
16620,78375.99999991803
16621,78323.9999999478
16622,79357.00000004155
16623,79583.000000035
16624,80784.99999989796
16625,72401.99999978385
16626,70915.99999987902
16627,78849.99999987942
16628,78981.99999984539
16629,79434.99999997763
16630,78594.99999998663
16631,78459.00000004486
16632,71388.00000009396
16633,69787.00000000543
16634,79453.00000008305
16635,78435.0000001008
16636,77112.99999994629
16637,75992.00000000853
16638,75721.0000001722
16639,69794.00000018718
16640,67765.00000008415
16641,76650.00000011193
16642,77226.00000006882
16643,76919.99999999275
16644,76640.00000000764
16645,76912.99999990403
16646,70579.99999987178
16647,68669.99999992504
16648,75237.99999987625
16649,77697.99999992394
16650,79887.99999995099
16651,80566.99999996864
16652,80699.00000000087
16653,72446.9999999853
16654,70635.00000018049
16655,79930.00000054447
16656,81515.00000071361
16657,81516.00000086661
16658,81167.00000086981
16659,80647.00000089714
16660,73130.00000082188
16661,71091.00000081933
16662,81557.00000041885
16663,83448.00000040139
16664,84065.00000041361
16665,83742.00000049385
16666,84298.00000038544
16667,76633.00000047339
16668,73527.00000035067
16669,84519.0000003273
16670,85182.0000000798
16671,83097.00000006033
16672,84412.00000007273
16673,84975.0000002081
16674,76764.00000022225
16675,75299.00000013661
16676,85790.00000013514
16677,86071.00000012011
16678,87236.00000000953
16679,86821.99999997325
16680,89372.99999990703
16681,82432.99999989662
16682,79719.99999987218
16683,90021.9999998546
16684,92375.99999992049
16685,94584.99999988612
16686,94525.99999985128
16687,94116.99999993083
16688,86112.99999998626
16689,83824.99999990062
16690,93241.99999985415
16691,95117.99999987187
16692,95662.99999992768
16693,96483.99999979448
16694,97099.99999973322
16695,88621.99999982634
16696,87033.99999989558
16697,96799.99999986307
16698,98600.99999982961
16699,98084.99999985228
16700,99829.99999990062
16701,99228.99999993993
16702,91194.99999986435
16703,88638.99999992953
16704,98432.99999992084
16705,99388.99999990144
16706,98846.99999977584
18366,354047.9999907441
18367,351670.00000330224
18368,357011.99999772257
18369,357121.0000056715
18370,359874.9999994939
18371,367821.0000042961
18372,371013.99999970896
18373,372744.0000029261
18374,371665.0000002097
18375,371983.00000127824
18376,392253.0000001038
18377,391992.000000596
18378,388320.999999994
18379,387999.00000021973
18380,388671.9999999768
18381,379264.00000001775
18382,375186.99999999267
18383,387244.00000000227
18384,390258.0000000094
18385,395990.99999995925
18386,394121.9999999971
18387,397865.9999999979
18388,389043.9999999999
18389,385520.9999999982
18390,398678.9999999982
18391,396194.99999999953
18392,399373.00000000047
18393,404264.99999999866
18394,403804.9999999989
18395,389742.0000000001
18396,379368.9999999998
18397,398470.9999999995
18398,396294.0
18399,395394.99999999977
18400,395032.99999999977
18401,396436.9999999992
18402,387667.9999999981
18403,380473.0000000008
18404,394873.9999999993
18405,397756.9999999997
18406,401396.0000000003
18407,404767.9999999999
18408,401435.9999999999
18409,384703.0000000002
18410,379128.9999999998
18411,392895.9999999998
18412,390838.9999999997
18413,391811.00000000006
18414,390423.0
18415,390086.9999999997
18416,382667.00000000023
18417,382144.0000000001
18418,382979.00000000006
18419,380454.00000000035
18420,397900.9999999998
18421,393173.00000000035
18422,389561.00000000023
18423,385764.99999999994
18424,370316.00000000047
18425,384308.9999999996
18426,380241.0000000001
18427,379080.9999999998
18428,374752.9999999998
18429,368691.00000000006
18430,357397.00000000047
18431,351688.0000000002
18432,353365.0000000004
18433,366059.0000000003
18434,365468.0000000004
18435,365210.0000000003
18436,366528.0000000003
18437,352874.0000000006
18438,347243.0000000004
18439,363446.0000000005
18440,365191.00000000064
18441,365833.0000000001
18442,366333.00000000047
18443,366972.00000000023
18444,357616.00000000006
18445,354831.0000000002
18446,367397.99999999965
18447,367836.99999999924
18448,367220.99999999907
18449,365342.9999999987
18450,364851.9999999989
18451,353802.99999999907
18452,333431.9999999997
18453,359789.9999999996
18454,358700.99999999977
18455,357932.99999999994
18456,350774.99999999977
18457,346086.0000000004
18458,332071.0000000004
18459,327121.9999999999
18460,341154.9999999998
18461,338668.9999999998
18462,338566.99999999953
18463,346612.9999999995
18464,346836.0000000002
18465,332310.0000000002
18466,328111.0000000005
18467,340421.0000000006
18468,341322.0000000004
18469,342850.0000000003
18470,341723.9999999998
18471,341174.99999999953
18472,327808.99999999994
18473,322006.99999999994
18474,337072.0000000048
18475,335575.9999999982
18476,333556.00000000093
18477,328845.0000000015
18478,324477.9999999979
18479,308192.0
18480,307222.9999999995
18481,320452.9999999984
18482,324306.00000006397
18483,327383.00000008126
18484,334310.9999999757
18485,333787.00000003865
18486,311323.0000000261
18487,306465.9999999508
18488,305711.9999999984
18489,318594.99999996746
18490,312081.99999995437
18491,308210.99999999173
18492,307247.9999999757
18493,292469.99999998795
18494,289809.9999999915
18495,289859.99999998254
18496,306024.00000000146
18497,302371.9999999874
18498,303021.9999999908
18499,302387.00000000274
18500,292530.9999999895
18501,290067.0000000003
18502,302657.99999999907
18503,303534.9999999951
18504,310089.0000000043
18505,311015.99999999616
18506,310483.0000000009
18507,300726.0000000034
18508,296729.99999999854
18509,310147.00000000343
18510,307854.0000000008
18511,303302.00000000285
18512,303657.0000001554
18513,305145.0000000433
18514,294996.9999999856
18515,291156.00000005466
18516,305418.99999996304
18517,303679.9999999654
18518,300071.0000001124
18519,303637.0000002762
18520,302747.0000000787
18521,291679.9999999928
18522,290981.00000006094
18523,302061.99999990844
18524,299845.99999987957
18525,299689.9999999041
18526,301417.9999998397
18527,303245.9999998967
18528,289500.9999999485
18529,288617.99999995186
18530,287061.9999999764
18531,303178.99999995704
18532,303936.9999999749
18533,299321.99999999016
18534,301864.00000025186
18535,289952.99999990483
18536,287243.000000032
18537,299889.00000005553
18538,302097.999999897
18539,301805.9999999875
18540,302186.9999999621
18541,300365.99999990145
18542,290994.99999999825
18543,286051.9999999644
18544,303274.9999999912
18545,301657.00000000786
18546,297314.99999996217
18547,303575.00000001874
18548,299209.99999999005
18549,284720.00000000047
18550,283052.00000003807
18551,300994.99999997835
18552,301523.00000001705
18553,300290.0000000087
18554,301850.99999998143
18555,302079.00000001764
18556,288422.99999998877
18557,286212.99999999563
18558,302909.00000001554
18559,303257.0000000015
18560,305936.00000000943
18561,305456.0000000076
18562,305085.0000000014
18563,293302.00000001065
18564,289252.99999999744
18565,303367.0000000046
18566,307641.00000000553
18567,310317.999999998
18568,305151.00000000873
18569,302071.00000000274
18570,289976.00000000326
18571,286621.00000000815
18572,302920.0000000013
18573,301989.0000000064
18574,302810.0000000048
18575,303404.0000000021
18576,306195.00000000664
18577,293869.00000000244
18578,290452.0000000041
18579,306042.00000000466
18580,305747.000000001
18581,308383.0000000042
18582,309842.00000000215
18583,310341.0000000017
18584,298920.00000000355
18585,297100.0000000014
18586,310356.00000000314
18587,309622.00000000256
18588,307992.0000000013
18589,310881.00000000314
18590,307853.0000000012
18591,297004.0000000019
18592,292627.000000003
18593,307087.00000000146
18594,309104.0000000026
18595,304871.00000000204
18596,298865.00000000186
18597,298343.0000000023
18598,291679.0000000014
18599,290376.0000000016
18600,306557.0000000013
18601,309638.0000000007
18602,313731.0000000011
18603,310320.0000000001
18604,310767.00000000047
18605,299189.0000000002
18606,297869.99999999994
18607,316032.0000000004
18608,310913.0
18609,307011.0000000001
18610,306413.00000000047
18611,309367.00000000006
18612,295522.0000000005
18613,290360.00000000064
18614,305317.0000000001
18615,313056.0000000005
18616,315348.9999999999
18617,317781.00000000023
18618,322872.00000000023
18619,312183.0000000002
18620,314200.00000000047
18621,328827.0000000003
18622,331008.00000000035
18623,333797.00000000064
18624,325977.00000000023
18625,329551.0000000001
18626,315021.0000000005
18627,312737.00000000023
18628,325955.00000000035
18629,319329.99999999994
18630,320141.9999999999
18631,324552.9999999991
18632,327672.0000000002
18633,317718.0
18634,317441.99999999936
18635,331231.99999999953
18636,329027.0000000004
18637,329348.00000000006
18638,328322.00000000064
18639,332319.0000000006
18640,325073.00000000035
18641,323497.00000000064
18642,339315.00000000023
18643,341924.9999999901
18644,348028.00000000524
18645,350425.99999999884
18646,350023.9999999988
18647,335132.00000000536
18648,333516.000000001
18649,340187.00000002666
18650,343913.00000051095
18651,346950.00000059884
18652,349948.00000062055
18653,350481.9999999231
18654,340607.0000001308
18655,338151.9999999104
18656,351956.99999964214
18657,352085.999999732
18658,354978.9999996484
18659,358287.9999996821
18660,354555.99999991944
18661,346400.9999999375
18662,339593.9999998851
18663,357570.9999999351
18664,358342.9999998936
18665,355713.9999999609
20325,215482.99946794857
20326,219443.99994729276
20327,222420.00027480867
20328,221216.0002753561
20329,220529.00016465868
20330,221278.0001369346
20331,221506.00025289023
20332,220502.00021345122
20333,220256.00013155024
20334,221991.00007838666
20335,225031.00005748085
20336,226002.00004580544
20337,225269.00003161386
20338,224780.0000163932
20339,223616.00000856386
20340,222635.9999975634
20341,222161.99999529764
20342,225081.99999259642
20343,225857.99998588057
20344,224905.99961701958
20345,224771.9999930621
20346,224482.9999967188
20347,222900.99999184118
20348,223580.00000763356
20349,224034.99999937406
20350,225877.9999971328
20351,223705.99999698444
20352,224256.00000024805
20353,221669.99999966953
20354,220012.99999878625
20355,217855.0000025674
20356,220579.00000415542
20357,219280.00000688533
20358,220299.00000867737
20359,222641.00000724074
20360,222633.00000439252
20361,220428.0000004514
20362,219812.00000114954
20363,223525.9999988103
20364,224370.00000031147
20365,220409.00000160778
20366,220867.00000167306
20367,219991.00000112248
20368,217955.00000234376
20369,216182.99999932118
20370,218042.99999728834
20371,218078.99999483646
20372,216202.99999270128
20373,217821.99998777767
20374,219421.99998645997
20375,218899.9999907723
20376,219312.9999955147
20377,218068.99999870654
20378,218448.9999990853
20379,219051.00000307424
20380,220389.0000009367
20381,217640.0000006249
20382,215225.99999761992
20383,214307.99999430208
20384,214986.9999923255
20385,213633.99999251543
20386,211241.99999659532
20387,209529.99999790877
20388,207620.0000002691
20389,203874.0000002666
20390,207949.00000174707
20391,208052.00000358067
20392,208444.00000346397
20393,207386.00000319234
20394,205854.00000268206
20395,206081.00000279056
20396,205572.0000032335
20397,207011.00000294182
20398,208168.00000036653
20399,205551.00000010498
20400,205017.00000066665
20401,203783.9999987343
20402,204047.9999991472
20403,201890.9999916456
20404,205403.99999500037
20405,206774.9999990102
20406,205458.99999738694
20407,203223.00000081412
20408,203219.0000062916
20409,203285.00000856616
20410,206768.00000532364
20411,195750.00000808324
20412,205415.0000065853
20413,203537.0000124589
20414,201712.00000968133
20415,198485.00000578747
